Country.Region,Province.State,Population,Density,Source,Level
US,Virginia,8535519,216.1867587,US Census Bureau,Province.State
US,Washington,7614893,114.5870085,US Census Bureau,Province.State
US,Arizona,7278717,64.04325175,US Census Bureau,Province.State
US,Massachusetts,6892503,883.5457036,US Census Bureau,Province.State
US,Tennessee,6829174,165.6040423,US Census Bureau,Province.State
US,Indiana,6732219,187.9120311,US Census Bureau,Province.State
US,Missouri,6137428,89.27757816,US Census Bureau,Province.State
US,Maryland,6045680,622.5512503,US Census Bureau,Province.State
US,Wisconsin,5822434,107.4895542,US Census Bureau,Province.State
US,Colorado,5758736,55.56614284,US Census Bureau,Province.State
US,Minnesota,5639632,70.82662351,US Census Bureau,Province.State
US,South Carolina,5148714,171.2600764,US Census Bureau,Province.State
US,Alabama,4903185,96.81165244,US Census Bureau,Province.State
US,Louisiana,4648794,107.5997929,US Census Bureau,Province.State
US,Kentucky,4467673,113.1303141,US Census Bureau,Province.State
US,Oregon,4217737,43.94025129,US Census Bureau,Province.State
US,Oklahoma,3956971,57.68520258,US Census Bureau,Province.State
US,Connecticut,3565287,736.2210464,US Census Bureau,Province.State
US,Utah,3205958,38.91817613,US Census Bureau,Province.State
US,Puerto Rico,3193694,,US Census Bureau,Province.State
US,Iowa,3155070,56.48808963,US Census Bureau,Province.State
US,Nevada,3080156,28.03700637,US Census Bureau,Province.State
US,Arkansas,3017804,57.99283631,US Census Bureau,Province.State
US,Mississippi,2976149,63.42279732,US Census Bureau,Province.State
US,Kansas,2913314,35.63317347,US Census Bureau,Province.State
US,New Mexico,2096829,17.2845621,US Census Bureau,Province.State
US,Nebraska,1934408,25.18219543,US Census Bureau,Province.State
US,West Virginia,1792147,74.54504806,US Census Bureau,Province.State
US,Idaho,1787065,21.62335489,US Census Bureau,Province.State
US,Hawaii,1415872,220.4575009,US Census Bureau,Province.State
US,New Hampshire,1359711,151.8653269,US Census Bureau,Province.State
US,Maine,1344212,43.57985941,US Census Bureau,Province.State
US,Montana,1068778,7.343145217,US Census Bureau,Province.State
US,Rhode Island,1059361,1024.626729,US Census Bureau,Province.State
US,Delaware,973764,499.7477588,US Census Bureau,Province.State
US,South Dakota,884659,11.66947081,US Census Bureau,Province.State
US,North Dakota,762062,11.04521346,US Census Bureau,Province.State
US,Alaska,731545,1.281126592,US Census Bureau,Province.State
US,District of Columbia,705749,11543.99994,US Census Bureau,Province.State
US,Vermont,623989,67.69333266,US Census Bureau,Province.State
US,Wyoming,578759,5.961136325,US Census Bureau,Province.State
China,Guangdong,104303132,,WorldAtlas,Province.State
China,Shandong,100063065,,WorldAtlas,Province.State
China,Henan,94023567,,WorldAtlas,Province.State
China,Sichuan,80418200,,WorldAtlas,Province.State
China,Jiangsu,78659903,,WorldAtlas,Province.State
China,Hebei,71854202,,WorldAtlas,Province.State
China,Hunan,65683722,,WorldAtlas,Province.State
China,Anhui,59500510,,WorldAtlas,Province.State
China,Hubei,57237740,,WorldAtlas,Province.State
China,Zhejiang,54426891,,WorldAtlas,Province.State
China,Guangxi,46026629,,WorldAtlas,Province.State
China,Yunnan,45966239,,WorldAtlas,Province.State
China,Jiangxi,44567475,,WorldAtlas,Province.State
China,Liaoning,43746323,,WorldAtlas,Province.State
China,Fujian,36894216,,WorldAtlas,Province.State
China,Shaanxi,37327378,,WorldAtlas,Province.State
China,Heilongjiang,38312224,,WorldAtlas,Province.State
China,Shanxi,37022111,,WorldAtlas,Province.State
